station_id,stationname,date,daytype,rides
40220,Western-Forest Park,2016-09-01,W,1737
40220,Western-Forest Park,2016-09-02,W,1772
40220,Western-Forest Park,2016-09-03,A,1124
40220,Western-Forest Park,2016-09-04,U,868
40220,Western-Forest Park,2016-09-05,U,758
40220,Western-Forest Park,2016-09-06,W,1748
40220,Western-Forest Park,2016-09-07,W,1937
40220,Western-Forest Park,2016-09-08,W,1938
40220,Western-Forest Park,2016-09-09,W,2012
40220,Western-Forest Park,2016-09-10,A,1065
40220,Western-Forest Park,2016-09-11,U,826
40220,Western-Forest Park,2016-09-12,W,1874
40220,Western-Forest Park,2016-09-13,W,1928
40220,Western-Forest Park,2016-09-14,W,1989
40220,Western-Forest Park,2016-09-15,W,1950
40220,Western-Forest Park,2016-09-16,W,2318
40220,Western-Forest Park,2016-09-17,A,1354
40220,Western-Forest Park,2016-09-18,U,916
40220,Western-Forest Park,2016-09-19,W,1936
40220,Western-Forest Park,2016-09-20,W,1905
40220,Western-Forest Park,2016-09-21,W,1884
40220,Western-Forest Park,2016-09-22,W,1915
40220,Western-Forest Park,2016-09-23,W,1963
40220,Western-Forest Park,2016-09-24,A,1269
40220,Western-Forest Park,2016-09-25,U,860
40220,Western-Forest Park,2016-09-26,W,1913
40220,Western-Forest Park,2016-09-27,W,1927
40220,Western-Forest Park,2016-09-28,W,1902
40220,Western-Forest Park,2016-09-29,W,1963
40220,Western-Forest Park,2016-09-30,W,2020
40220,Western-Forest Park,2016-10-01,A,1046
40220,Western-Forest Park,2016-10-02,U,824
40220,Western-Forest Park,2016-10-03,W,1841
40220,Western-Forest Park,2016-10-04,W,1918
40220,Western-Forest Park,2016-10-05,W,1948
40220,Western-Forest Park,2016-10-06,W,1839
40220,Western-Forest Park,2016-10-07,W,1971
40220,Western-Forest Park,2016-10-08,A,1267
40220,Western-Forest Park,2016-10-09,U,1006
40220,Western-Forest Park,2016-10-10,W,1451
40220,Western-Forest Park,2016-10-11,W,1850
40220,Western-Forest Park,2016-10-12,W,1880
40220,Western-Forest Park,2016-10-13,W,1968
40220,Western-Forest Park,2016-10-14,W,1964
40220,Western-Forest Park,2016-10-15,A,1248
40220,Western-Forest Park,2016-10-16,U,843
40220,Western-Forest Park,2016-10-17,W,1936
40220,Western-Forest Park,2016-10-18,W,1926
40220,Western-Forest Park,2016-10-19,W,1988
40220,Western-Forest Park,2016-10-20,W,1997
40220,Western-Forest Park,2016-10-21,W,1882
40220,Western-Forest Park,2016-10-22,A,1123
40220,Western-Forest Park,2016-10-23,U,832
40220,Western-Forest Park,2016-10-24,W,1866
40220,Western-Forest Park,2016-10-25,W,1911
40220,Western-Forest Park,2016-10-26,W,1802
40220,Western-Forest Park,2016-10-27,W,1912
40220,Western-Forest Park,2016-10-28,W,2044
40220,Western-Forest Park,2016-10-29,A,1366
40220,Western-Forest Park,2016-10-30,U,859
40220,Western-Forest Park,2016-10-31,W,1795
40220,Western-Forest Park,2016-11-01,W,1877
40220,Western-Forest Park,2016-11-02,W,1855
40220,Western-Forest Park,2016-11-03,W,1960
40220,Western-Forest Park,2016-11-04,W,2107
