LAT,LONG
            45.015981,           -93.654463
            45.016088,           -93.635394
            45.016193,           -93.616324
            45.016294,           -93.597253
            45.016392,           -93.578183
            45.016487,           -93.559113
            45.016579,           -93.540043
            45.016668,           -93.520972
            45.016753,           -93.501901
            45.016835,           -93.482831
            45.016914,           -93.463760
            45.016990,           -93.444689
            45.017063,           -93.425618
            45.017132,           -93.406547
            45.017199,           -93.387476
            45.017262,           -93.368405
            45.017322,           -93.349334
            45.017378,           -93.330263
            45.017432,           -93.311192
            45.017482,           -93.292120
            45.017529,           -93.273049
            45.017574,           -93.253977
            45.017614,           -93.234906
            45.017652,           -93.215835
            45.017686,           -93.196763
            45.017718,           -93.177691
            45.017746,           -93.158620
            45.017771,           -93.139548
            45.017792,           -93.120477
            45.017811,           -93.101405
            45.017826,           -93.082333
            45.017838,           -93.063262
            45.017847,           -93.044190
            45.017853,           -93.025118
            45.017856,           -93.006046
            45.017855,           -92.986975
            45.001869,           -93.749635
            45.001992,           -93.730570
            45.002113,           -93.711505
            45.002230,           -93.692440
            45.002344,           -93.673375
            45.002455,           -93.654309
            45.002562,           -93.635244
            45.002667,           -93.616179
            45.002768,           -93.597113
            45.002866,           -93.578047
            45.002961,           -93.558981
            45.003053,           -93.539915
            45.003141,           -93.520849
            45.003227,           -93.501783
            45.003309,           -93.482717
            45.003388,           -93.463651
            45.003464,           -93.444585
            45.003536,           -93.425518
            45.003606,           -93.406452
            45.003672,           -93.387385
            45.003735,           -93.368319
            45.003795,           -93.349252
            45.003852,           -93.330185
            45.003905,           -93.311118
            45.003956,           -93.292052
            45.004003,           -93.272985
            45.004047,           -93.253918
            45.004087,           -93.234851
            45.004125,           -93.215784
            45.004160,           -93.196717
            45.004191,           -93.177650
            45.004219,           -93.158582
            45.004244,           -93.139515
            45.004265,           -93.120448
            45.004284,           -93.101381
            45.004299,           -93.082314
            45.004311,           -93.063247
            45.004320,           -93.044179
            45.004326,           -93.025112
            45.004329,           -93.006045
            45.004328,           -92.986978
            44.988343,           -93.749459
            44.988466,           -93.730398
            44.988587,           -93.711338
            44.988704,           -93.692277
            44.988818,           -93.673216
            44.988928,           -93.654156
            44.989036,           -93.635095
            44.989140,           -93.616034
            44.989242,           -93.596972
            44.989340,           -93.577911
            44.989435,           -93.558850
            44.989526,           -93.539788
            44.989615,           -93.520727
            44.989700,           -93.501665
            44.989782,           -93.482604
            44.989861,           -93.463542
            44.989937,           -93.444480
            44.990010,           -93.425418
            44.990079,           -93.406356
            44.990145,           -93.387294
            44.990208,           -93.368232
            44.990268,           -93.349170
            44.990325,           -93.330107
            44.990378,           -93.311045
            44.990429,           -93.291983
            44.990476,           -93.272920
            44.990520,           -93.253858
            44.990561,           -93.234795
            44.990598,           -93.215733
            44.990633,           -93.196670
            44.990664,           -93.177608
            44.990692,           -93.158545
            44.990717,           -93.139483
            44.990738,           -93.120420
            44.990757,           -93.101357
            44.990772,           -93.082294
            44.990784,           -93.063232
            44.990793,           -93.044169
            44.990799,           -93.025106
            44.990802,           -93.006044
            44.990801,           -92.986981
            44.974817,           -93.749282
            44.974940,           -93.730226
            44.975061,           -93.711170
            44.975178,           -93.692114
            44.975292,           -93.673058
            44.975402,           -93.654002
            44.975510,           -93.634945
            44.975614,           -93.615889
            44.975715,           -93.596832
            44.975813,           -93.577775
            44.975908,           -93.558718
            44.976000,           -93.539662
            44.976088,           -93.520604
            44.976174,           -93.501547
            44.976256,           -93.482490
            44.976335,           -93.463433
            44.976410,           -93.444375
            44.976483,           -93.425318
            44.976552,           -93.406261
            44.976619,           -93.387203
            44.976682,           -93.368145
            44.976741,           -93.349088
            44.976798,           -93.330030
            44.976852,           -93.310972
            44.976902,           -93.291914
            44.976949,           -93.272856
            44.976993,           -93.253798
            44.977034,           -93.234740
            44.977071,           -93.215682
            44.977106,           -93.196624
            44.977137,           -93.177566
            44.977165,           -93.158508
            44.977190,           -93.139450
            44.977211,           -93.120392
            44.977230,           -93.101333
            44.977245,           -93.082275
            44.977257,           -93.063217
            44.977266,           -93.044159
            44.977272,           -93.025100
            44.977275,           -93.006042
            44.977274,           -92.986984
            44.961291,           -93.749106
            44.961414,           -93.730055
            44.961535,           -93.711003
            44.961652,           -93.691952
            44.961765,           -93.672900
            44.961876,           -93.653848
            44.961984,           -93.634796
            44.962088,           -93.615744
            44.962189,           -93.596692
            44.962287,           -93.577640
            44.962382,           -93.558587
            44.962473,           -93.539535
            44.962562,           -93.520482
            44.962647,           -93.501429
            44.962729,           -93.482377
            44.962808,           -93.463324
            44.962884,           -93.444271
            44.962956,           -93.425218
            44.963026,           -93.406165
            44.963092,           -93.387112
            44.963155,           -93.368059
            44.963215,           -93.349006
            44.963271,           -93.329952
            44.963325,           -93.310899
            44.963375,           -93.291846
            44.963422,           -93.272792
            44.963466,           -93.253739
            44.963507,           -93.234685
            44.963544,           -93.215632
            44.963579,           -93.196578
            44.963610,           -93.177524
            44.963638,           -93.158471
            44.963663,           -93.139417
            44.963684,           -93.120363
            44.963703,           -93.101310
            44.963718,           -93.082256
            44.963730,           -93.063202
            44.963739,           -93.044148
            44.963745,           -93.025094
            44.963748,           -93.006041
            44.963747,           -92.986987
            44.947765,           -93.748930
            44.947888,           -93.729883
            44.948009,           -93.710836
            44.948126,           -93.691789
            44.948239,           -93.672742
            44.948350,           -93.653694
            44.948457,           -93.634647
            44.948562,           -93.615599
            44.948663,           -93.596552
            44.948761,           -93.577504
            44.948855,           -93.558456
            44.948947,           -93.539408
            44.949035,           -93.520360
            44.949121,           -93.501312
            44.949203,           -93.482263
            44.949281,           -93.463215
            44.949357,           -93.444167
            44.949430,           -93.425118
            44.949499,           -93.406070
            44.949565,           -93.387021
            44.949628,           -93.367972
            44.949688,           -93.348924
            44.949744,           -93.329875
            44.949798,           -93.310826
            44.949848,           -93.291777
            44.949895,           -93.272728
            44.949939,           -93.253679
            44.949980,           -93.234630
            44.950017,           -93.215581
            44.950052,           -93.196532
            44.950083,           -93.177483
            44.950111,           -93.158433
            44.950136,           -93.139384
            44.950157,           -93.120335
            44.950176,           -93.101286
            44.950191,           -93.082236
            44.950203,           -93.063187
            44.950212,           -93.044138
            44.950218,           -93.025089
            44.950221,           -93.006039
            44.950220,           -92.986990
            44.934239,           -93.748754
            44.934362,           -93.729712
            44.934482,           -93.710669
            44.934599,           -93.691627
            44.934713,           -93.672584
            44.934824,           -93.653541
            44.934931,           -93.634498
            44.935035,           -93.615455
            44.935136,           -93.596412
            44.935234,           -93.577368
            44.935329,           -93.558325
            44.935420,           -93.539281
            44.935509,           -93.520238
            44.935594,           -93.501194
            44.935676,           -93.482150
            44.935755,           -93.463106
            44.935830,           -93.444062
            44.935903,           -93.425018
            44.935972,           -93.405974
            44.936038,           -93.386930
            44.936101,           -93.367886
            44.936161,           -93.348842
            44.936217,           -93.329797
            44.936271,           -93.310753
            44.936321,           -93.291708
            44.936368,           -93.272664
            44.936412,           -93.253619
            44.936453,           -93.234575
            44.936490,           -93.215530
            44.936525,           -93.196486
            44.936556,           -93.177441
            44.936584,           -93.158396
            44.936609,           -93.139351
            44.936630,           -93.120307
            44.936649,           -93.101262
            44.936664,           -93.082217
            44.936676,           -93.063172
            44.936685,           -93.044128
            44.936691,           -93.025083
            44.936694,           -93.006038
            44.936693,           -92.986993
            44.920713,           -93.748579
            44.920836,           -93.729541
            44.920956,           -93.710503
            44.921073,           -93.691464
            44.921187,           -93.672426
            44.921297,           -93.653388
            44.921405,           -93.634349
            44.921509,           -93.615310
            44.921610,           -93.596272
